LGACODE,LGA,Year,Deaths,Population
LGA13310,Goulburn Mulwaree (A),2013,284.121,29138.266
LGA13310,Goulburn Mulwaree (A),2014,317.77983,29332.429
LGA13320,Great Lakes (A),2010,395.46816,35409.824
LGA13320,Great Lakes (A),2011,472.21489,35733.271
LGA13320,Great Lakes (A),2012,462.23213,35987.817
LGA13320,Great Lakes (A),2013,505.15929,36308.674
LGA13320,Great Lakes (A),2014,543.32225,36476.946
LGA13340,Greater Hume Shire (A),2010,77.897537,10026.72
LGA13340,Greater Hume Shire (A),2011,68.594511,10078.55
LGA13340,Greater Hume Shire (A),2012,78.503908,10144.459
LGA13340,Greater Hume Shire (A),2013,78.494045,10189.264
LGA13340,Greater Hume Shire (A),2014,73.541467,10269.071
LGA13380,Greater Taree (C),2010,478.5702,47725.573
LGA13380,Greater Taree (C),2011,537.23568,48103.787
LGA13380,Greater Taree (C),2012,509.24004,48392.262
LGA13380,Greater Taree (C),2013,512.19645,48815.618
LGA13380,Greater Taree (C),2014,554.30398,48911.727
LGA13450,Griffith (C),2010,179.53972,25323.796
LGA13450,Griffith (C),2011,184.25356,25394.644
LGA13450,Griffith (C),2012,178.64863,25543.935
LGA13450,Griffith (C),2013,202.78217,25634.573
LGA13450,Griffith (C),2014,176.19633,26024.268
LGA13500,Gundagai (A),2010,32.891712,3780.0251
LGA13500,Gundagai (A),2011,43.209653,3763.5469
LGA13500,Gundagai (A),2012,25.897586,3767.463
LGA13500,Gundagai (A),2013,30.063439,3746.4564
LGA13500,Gundagai (A),2014,32.049674,3753.9501
LGA13550,Gunnedah (A),2010,100.94928,12345.788
LGA13550,Gunnedah (A),2011,119.05331,12519.791
LGA13550,Gunnedah (A),2012,109.94841,12619.844
LGA13550,Gunnedah (A),2013,125.05418,12740.106
LGA13550,Gunnedah (A),2014,128.42219,12907.054
LGA13650,Guyra (A),2010,34.291091,4500.0026
LGA13650,Guyra (A),2011,32.741975,4527.2638
LGA13650,Guyra (A),2012,37.204159,4557.3405
LGA13650,Guyra (A),2013,36.738671,4579.1586
LGA13650,Guyra (A),2014,40.975643,4551.1591
LGA13660,Gwydir (A),2010,57.829758,5171.9838
LGA13660,Gwydir (A),2011,62.742407,5096.3084
LGA13660,Gwydir (A),2012,47.114244,5096.6815
