"SSC","$1-$199 ($1-$10,399)","$200-$299 ($10,400-$15,599)","$300-$399 ($15,600-$20,799)","$400-$599 ($20,800-$31,199)","$600-$799 ($31,200-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,999 ($78,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,999 ($208,000-$259,999)","$5,000 or more ($260,000 or more)","Total",
"Abbotsbury",12,16,11,47,61,59,74,89,143,149,131,85,59,47,43,1026,
"Abbotsford (NSW)",29,64,131,152,110,102,135,113,201,152,260,135,93,92,124,1893,
"Abercrombie",0,4,10,19,20,22,16,17,41,41,38,30,11,5,4,278,
"Aberdare",17,24,83,112,103,81,80,63,93,53,46,29,9,0,3,796,
"Aberdeen (NSW)",9,11,57,78,70,49,56,63,104,58,92,50,10,12,7,726,
"Aberfoyle",4,5,5,7,11,7,8,7,15,4,0,0,0,0,0,73,
"Aberglasslyn",3,7,25,56,39,45,46,51,120,101,139,73,40,21,11,777,
"Abermain",9,21,95,73,118,58,67,47,99,67,60,27,10,6,0,757,
"Abernethy",0,3,6,11,10,4,3,3,9,4,7,0,0,0,0,60,
"Acacia Gardens",4,10,12,33,23,47,65,72,149,173,176,108,49,42,21,984,
"Adaminaby",3,7,11,13,21,13,3,4,12,0,5,0,0,0,0,92,
"Adamstown",23,81,198,234,190,158,181,168,298,207,160,128,32,32,14,2104,
"Adamstown Heights",24,44,90,160,169,154,140,119,234,173,192,134,66,36,20,1755,
"Adelong",9,16,48,48,29,39,27,22,39,21,13,4,3,0,0,318,
"Agnes Banks",3,6,9,14,20,12,17,18,30,27,24,11,3,6,11,211,
"Airds",35,99,192,180,136,71,76,37,48,30,17,3,3,0,3,930,
"Akolele",6,5,3,3,9,3,3,0,0,0,0,0,0,0,0,32,
"Albion Park",36,72,203,348,279,268,317,322,645,474,345,223,71,53,16,3672,
"Albion Park Rail",34,85,170,318,232,223,208,203,296,193,124,57,30,18,3,2194,
"Albury",33,78,167,164,210,178,153,146,219,157,141,94,36,32,29,1837,
"Aldavilla",3,0,20,37,33,18,29,11,29,21,3,7,0,5,0,216,
"Alexandria",25,51,90,77,126,173,213,238,429,338,503,259,171,142,147,2982,
"Alfords Point",5,0,13,31,29,46,40,43,100,93,132,103,49,73,49,806,
"Alison (Dungog - NSW)",0,0,15,10,7,17,6,11,16,9,6,0,0,5,5,107,
"Allambie Heights",22,35,125,197,126,147,117,114,202,174,237,183,101,89,82,1951,
"Allandale (NSW)",3,0,3,11,8,15,4,3,16,9,11,7,3,3,5,101,
"Allawah",35,49,103,176,185,180,221,169,269,169,148,72,43,28,19,1866,
"Allgomera",3,3,3,8,10,3,3,4,8,3,0,0,0,0,0,48,
"Allworth",0,4,6,9,12,9,0,8,7,3,0,3,0,0,0,61,
"Allynbrook",3,3,4,18,10,4,11,6,12,4,0,3,0,0,0,78,
"Alstonvale",0,0,8,12,19,15,8,11,23,8,9,15,5,0,0,133,
"Alstonville",26,80,244,322,261,272,209,161,203,139,80,62,23,17,12,2111,
"Alumy Creek",0,5,3,9,6,5,0,7,10,4,0,4,0,0,0,53,
"Ambarvale",34,68,141,196,194,169,212,180,260,178,122,53,35,27,18,1887,
"Angledale",0,4,5,12,9,6,11,8,13,11,4,0,0,0,0,83,
"Anglers Reach",0,5,9,19,24,10,12,16,18,12,7,3,0,3,0,138,
"Angourie",0,4,3,6,11,4,11,3,11,5,6,0,0,0,0,64,
"Anna Bay",13,46,131,222,153,114,91,101,140,94,64,33,19,10,5,1236,
"Annandale (NSW)",31,73,124,175,184,162,204,214,380,255,522,297,153,211,236,3221,
"Annangrove",6,3,11,21,16,22,19,23,39,26,34,47,18,22,22,329,
"Appin (NSW)",9,9,22,27,36,42,29,54,71,78,52,35,14,14,9,501,
"Apsley (NSW)",0,5,5,5,5,0,0,0,0,5,0,0,0,0,0,25,
"Arakoon",3,7,13,21,22,26,17,22,14,12,8,4,4,0,0,173,
"Araluen (NSW)",4,8,11,16,16,13,10,12,10,3,9,6,0,0,0,118,
"Arcadia (NSW)",7,4,10,26,29,32,27,35,40,30,46,36,20,12,28,382,
"Arcadia Vale",13,14,32,52,49,34,39,51,59,41,40,22,17,7,3,473,
"Arding",3,3,5,12,16,9,7,6,10,8,4,6,0,0,0,89,
"Ardlethan",7,7,28,37,22,9,14,0,10,3,0,0,0,0,0,137,
"Argenton",7,27,59,90,61,52,58,37,54,28,19,9,0,3,0,504,
"Argents Hill",7,9,24,22,34,17,7,12,17,3,5,0,0,0,0,157,
"Ariah Park",11,15,30,46,24,31,17,16,22,11,4,3,0,0,4,234,
"Armatree",3,3,6,12,13,13,10,4,9,6,4,6,0,0,0,89,
"Armidale",158,301,628,911,868,730,685,582,879,551,416,261,97,72,41,7180,
"Arncliffe",53,97,159,206,209,182,222,161,338,207,177,121,56,68,40,2296,
"Arndell Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Arrawarra",10,11,23,100,53,37,19,12,12,5,8,0,0,0,0,290,
"Arrawarra Headland",0,9,14,17,25,21,15,18,9,12,10,3,0,0,0,153,
"Artarmon",60,78,135,194,155,170,242,212,403,246,554,268,147,176,169,3209,
"Ashbury",14,14,49,67,78,60,56,69,118,98,111,68,47,39,37,925,
"Ashby (NSW)",3,6,10,26,14,12,14,10,11,10,4,3,0,0,0,123,
"Ashby Heights",6,9,8,25,11,5,11,11,12,4,0,0,0,0,0,102,
"Ashcroft",37,85,130,145,117,84,74,77,77,46,19,9,7,5,3,915,
"Ashfield (NSW)",152,206,441,657,653,598,741,673,1059,677,689,392,168,177,116,7399,
"Ashford (NSW)",10,17,35,70,46,37,27,19,19,8,3,0,0,0,3,294,
"Ashley",3,4,7,16,12,5,12,16,11,7,7,4,0,0,0,104,
"Ashmont",31,64,169,216,206,148,137,84,157,64,35,11,8,0,5,1335,
"Ashtonfield",10,13,39,100,85,87,84,87,213,180,161,135,46,37,19,1296,
"Asquith",13,26,54,90,80,74,87,67,137,127,121,88,43,40,19,1066,
"Attunga",4,4,17,32,24,29,35,25,30,18,7,6,0,0,4,235,
"Auburn (NSW)",224,311,511,1022,1055,844,879,706,965,593,410,186,105,82,45,7938,
"Austinmer",7,12,35,49,55,56,65,47,86,80,101,74,31,27,25,750,
"Austral",17,27,21,82,77,59,79,67,89,49,53,26,18,19,15,698,
"Avalon (NSW)",43,56,116,207,209,232,241,226,384,305,459,279,121,120,175,3173,
"Avoca Beach",11,23,66,121,102,99,120,121,182,131,139,95,34,29,23,1296,
"Awaba",3,5,7,10,11,10,15,12,18,10,5,4,0,0,0,110,
"Aylmerton",0,0,5,11,11,5,5,4,7,7,5,5,0,0,7,72,
"Baan Baa",8,11,9,19,24,21,18,9,16,14,7,4,0,0,3,163,
"Backmede",0,0,3,14,11,12,6,12,11,10,0,3,0,0,0,82,
"Badgerys Creek",0,6,6,5,10,10,20,12,7,13,4,7,0,0,0,100,
"Balaclava (NSW)",0,3,6,15,18,12,12,9,22,11,5,4,3,4,0,124,
"Balala",5,0,16,11,12,18,12,4,12,6,3,3,0,0,3,105,
"Balcolyn",9,4,20,43,31,34,19,15,28,34,15,13,3,3,4,275,
"Bald Hills (NSW)",0,3,5,7,11,17,14,14,13,5,3,3,0,0,0,95,
"Balgowlah",32,37,96,147,181,167,210,160,315,216,443,206,136,119,141,2606,
"Balgowlah Heights",10,8,28,40,44,45,37,47,55,58,183,92,63,68,117,895,
"Balgownie",44,51,138,204,157,143,121,105,227,168,183,128,37,33,41,1780,
"Balladoran",4,0,0,8,7,8,13,8,11,4,0,0,0,0,0,63,
"Ballimore",0,0,4,6,5,10,6,3,11,8,0,3,0,0,0,56,
"Ballina",66,190,543,630,515,382,288,225,262,99,69,39,9,3,5,3325,
"Balmain",53,125,180,199,172,192,187,227,351,220,746,310,216,260,373,3811,
"Balmain East",20,25,34,33,32,24,40,48,72,47,159,73,28,41,72,748,
"Balmoral (Lake Macquarie - NSW)",8,0,13,31,17,14,21,23,35,29,19,11,3,3,3,230,
"Balmoral (Wingecarribee - NSW)",3,5,4,6,5,6,22,4,19,14,12,11,3,0,0,114,
"Balranald",10,26,61,84,81,70,55,43,53,29,10,8,3,0,6,539,
"Bandon Grove",8,3,6,11,13,11,9,3,4,9,3,3,0,0,0,83,
"Bangalee (NSW)",3,11,9,15,20,24,14,22,25,34,22,19,12,4,6,240,
"Bangalow",11,13,46,81,64,78,58,52,74,50,42,25,6,5,4,609,
"Bangheet",6,5,11,14,12,16,14,8,6,8,0,0,0,0,0,100,
"Bangor (NSW)",12,23,63,91,80,83,89,86,215,192,246,195,90,94,60,1619,
"Banksia",17,17,53,87,85,82,71,77,118,112,74,49,34,19,15,910,
"Banksmeadow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Bankstown",216,384,629,1013,1094,840,909,739,967,584,357,157,96,79,62,8126,
"Bankstown Aerodrome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Bannaby",6,0,4,17,6,6,4,4,4,10,5,0,0,0,0,66,
"Bannister (NSW)",3,3,6,12,8,11,8,10,16,10,8,3,0,0,7,105,
"Banora Point",101,167,521,855,687,595,529,484,573,404,211,94,44,33,24,5322,
"Bar Beach",18,51,49,38,22,27,30,26,38,22,46,24,19,12,33,455,
"Bar Point",0,0,14,21,12,20,8,8,16,8,9,7,6,0,3,132,
"Baradine",8,8,41,57,48,27,15,12,21,6,9,0,0,0,0,252,
"Barangaroo",0,8,12,7,4,4,3,0,3,0,3,0,0,0,0,44,
"Barcoongere",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Barden Ridge",3,3,16,28,30,47,45,64,119,135,173,143,79,57,46,988,
"Bardwell Park",4,12,32,54,59,49,52,52,92,82,62,50,28,28,21,677,
"Bardwell Valley",14,13,63,55,43,51,48,45,84,68,59,35,29,27,14,648,
"Barellan",7,8,30,33,14,31,15,17,14,19,3,3,0,0,3,197,
"Bargo",17,34,80,136,117,104,107,101,151,153,99,65,27,21,13,1225,
"Barham",13,24,74,107,78,71,42,46,57,28,19,9,0,0,4,572,
"Barkers Vale",3,23,18,30,21,13,4,12,7,4,3,0,0,0,0,138,
"Barmedman",3,15,17,23,24,18,7,4,5,5,7,0,0,0,0,128,
"Barnsley",3,6,15,59,47,53,65,67,89,59,34,24,8,8,0,537,
"Barooga",4,22,37,91,62,57,60,44,69,42,23,8,0,3,0,522,
"Barraba",8,36,116,145,94,63,46,19,36,27,10,3,0,0,0,603,
"Barrack Heights",22,66,192,312,204,190,178,148,206,169,104,51,18,17,5,1882,
"Barrack Point",3,5,21,24,23,22,23,13,23,15,22,10,6,0,5,215,
"Barrengarry",0,3,8,7,6,9,13,10,8,4,5,5,3,0,3,84,
"Barrington (NSW)",9,6,17,29,20,20,13,16,23,6,11,6,7,3,0,186,
"Barry (Blayney - NSW)",0,3,9,6,9,12,7,11,9,8,7,0,3,0,0,84,
"Basin View",11,12,39,83,62,54,56,46,58,25,8,4,3,3,0,464,
"Bass Hill",61,112,209,251,240,181,228,176,258,196,140,81,40,37,25,2235,
"Bateau Bay",89,179,459,558,419,365,320,267,478,356,205,147,59,34,20,3955,
"Batehaven",16,27,81,128,107,81,69,53,40,35,9,3,4,0,3,656,
"Batemans Bay",20,48,89,137,92,63,40,50,33,15,13,0,3,0,0,603,
"Bathurst",48,140,301,376,329,277,268,195,257,149,138,81,27,20,11,2617,
"Batlow",8,31,64,99,72,52,44,58,56,24,21,6,0,0,3,538,
"Baulkham Hills",115,130,341,665,630,731,652,721,1426,1164,1457,972,455,445,287,10191,
"Baw Baw (NSW)",4,10,9,18,16,11,16,17,21,11,13,10,3,0,0,159,
"Bawley Point",6,7,29,41,34,19,22,29,22,13,4,6,6,0,0,238,
"Bayview (NSW)",13,23,64,104,77,78,63,62,103,78,124,82,41,41,74,1027,
"Beacon Hill",17,26,57,124,118,148,114,127,221,206,286,179,90,91,79,1883,
"Beaconsfield (NSW)",3,3,14,10,12,18,28,21,39,49,54,28,24,17,14,334,
"Beaumont (NSW)",3,4,3,6,0,13,8,3,3,5,5,4,3,0,0,60,
"Beaumont Hills",16,9,19,57,68,75,92,105,250,253,388,261,149,141,83,1966,
"Beckom",0,0,3,13,10,3,3,7,4,6,3,3,0,0,4,59,
"Bedgerebong",3,3,14,7,3,10,3,0,8,9,3,0,0,0,0,63,
"Beechwood",0,12,14,34,33,20,22,9,19,13,10,7,0,0,0,193,
"Beecroft",26,18,59,118,135,135,135,139,236,209,379,315,177,215,190,2486,
"Beecroft Peninsula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Beelbangera",7,0,4,4,6,15,15,5,16,9,3,0,3,0,3,90,
"Bega",36,89,192,264,210,194,178,113,188,103,45,24,12,4,4,1656,
"Belbora",0,5,4,17,5,7,13,10,4,0,0,0,0,0,0,65,
"Belfield",35,76,149,221,155,143,174,144,218,162,120,78,52,36,23,1786,
"Belgravia",0,0,0,3,3,7,0,4,4,5,11,0,4,4,0,45,
"Belimbla Park",3,0,3,3,13,10,10,13,27,16,13,7,4,9,4,135,
"Bella Vista",16,9,25,56,68,82,99,79,197,165,287,241,136,158,161,1779,
"Bellambi",36,112,214,207,190,128,117,97,142,95,64,42,4,3,3,1454,
"Bellangry",3,3,9,9,7,9,4,9,3,3,3,3,0,0,0,65,
"Bellata",9,5,6,14,11,18,12,13,15,9,10,6,0,0,3,131,
"Bellawongarah",0,5,9,10,4,4,0,7,8,4,8,5,4,0,0,68,
"Bellbird",12,14,57,68,59,57,49,51,80,53,50,34,18,4,4,610,
"Bellbird Heights",5,6,24,33,25,26,12,19,34,19,19,20,0,5,3,250,
"Bellbrook",7,11,24,15,22,15,11,3,5,0,3,0,0,0,0,116,
"Bellevue Hill",43,40,69,121,110,148,174,191,329,247,608,343,196,182,367,3168,
"Bellingen",28,53,126,226,179,149,129,96,133,68,34,22,8,8,6,1265,
"Belmont (NSW)",42,121,301,397,277,209,165,153,213,166,159,107,44,28,30,2412,
"Belmont North",30,61,193,226,202,180,171,177,294,192,163,97,36,31,17,2070,
"Belmont South",3,27,50,56,72,40,28,35,40,36,18,4,7,0,4,420,
"Belmore",84,161,274,483,425,368,394,332,445,294,173,116,42,40,24,3655,
"Belmore River",3,5,8,21,17,10,10,11,8,8,10,0,0,0,0,111,
"Belrose",35,31,115,208,169,188,135,171,253,203,320,241,119,109,127,2424,
"Bemboka",11,12,19,40,31,22,21,20,13,6,3,0,0,0,0,198,
"Ben Lomond (NSW)",3,11,6,18,20,15,16,10,21,10,9,4,0,0,0,143,
"Bendalong",3,3,8,17,7,12,5,5,8,7,5,4,0,0,0,84,
"Bendemeer",6,9,20,27,22,22,17,13,14,3,3,6,4,0,0,166,
"Bendick Murrell",3,4,16,17,21,13,6,0,8,9,0,4,0,0,3,104,
"Bendolba",0,4,5,13,13,8,8,8,4,7,0,5,0,3,0,78,
"Benerembah",5,0,8,13,19,15,7,13,23,4,8,0,0,0,3,118,
"Beni",0,0,7,9,5,11,18,18,21,5,5,11,10,0,0,120,
"Bensville",15,7,26,38,59,51,60,69,114,79,85,54,23,17,9,706,
"Bentley (NSW)",3,0,3,5,12,4,4,6,3,11,0,0,0,0,0,51,
"Berala",56,95,175,293,270,255,247,200,284,206,131,69,43,41,11,2376,
"Berambing",0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,9,
"Beresfield",12,30,118,193,157,95,116,97,138,98,61,16,7,3,0,1141,
"Bergalia",4,0,3,10,11,10,6,9,13,3,0,0,0,0,0,69,
"Berkeley",46,136,336,364,223,196,256,172,259,183,117,72,21,20,7,2408,
"Berkeley Vale",31,74,209,344,273,244,271,243,400,281,147,87,34,17,11,2666,
"Berkshire Park",9,4,9,14,31,17,21,14,39,36,23,12,8,7,7,251,
"Bermagui",23,32,98,122,105,72,67,42,47,29,17,5,4,0,0,663,
"Berowra",14,12,37,69,80,85,87,78,155,141,214,144,66,70,50,1302,
"Berowra Creek",0,3,3,10,7,7,4,3,11,3,10,4,0,3,3,71,
"Berowra Heights",14,21,40,86,99,87,109,107,233,182,197,158,68,67,44,1512,
"Berrambool",8,11,31,39,38,29,34,17,25,13,7,7,0,0,0,259,
"Berrara",3,5,11,22,22,6,10,5,7,9,4,0,0,0,0,104,
"Berridale",10,28,54,69,62,71,59,53,69,44,25,13,6,4,7,574,
"Berrigan",10,21,56,95,58,58,40,24,25,16,12,5,0,3,0,423,
"Berrilee",0,3,5,4,8,15,6,4,16,3,11,9,4,3,0,91,
"Berrima",0,3,20,14,22,22,20,16,27,18,14,3,7,4,6,196,
"Berry",22,16,64,113,98,88,83,85,97,62,54,37,8,7,11,845,
"Bethungra",7,8,16,16,16,4,17,4,10,11,4,4,3,0,0,120,
"Beverley Park",14,11,32,77,47,49,44,36,91,63,60,62,22,13,17,638,
"Beverly Hills",68,88,207,315,259,230,255,212,382,276,258,148,75,83,50,2906,
"Bexhill",0,4,12,16,16,19,12,12,31,7,15,6,3,3,3,159,
"Bexley",93,127,312,496,474,438,473,469,768,607,470,291,139,120,81,5358,
"Bexley North",32,41,98,118,104,99,103,94,153,107,102,72,27,33,16,1199,
"Bibbenluke",7,3,13,21,12,13,7,10,10,5,0,0,0,0,0,101,
"Biddon",0,3,6,15,11,12,4,4,10,8,3,0,0,0,0,76,
"Bidwill (NSW)",44,108,154,197,154,127,111,78,93,53,25,13,0,3,3,1163,
"Big Springs",13,3,11,7,22,12,15,13,27,25,13,4,3,3,0,171,
"Bigga",3,7,12,24,11,22,8,9,4,9,3,0,0,0,0,112,
"Bilambil",0,10,21,20,21,14,8,17,11,10,14,5,3,0,5,159,
"Bilambil Heights",16,24,54,123,113,102,121,111,172,96,61,40,13,8,3,1057,
"Bilbul",3,3,10,19,20,8,16,21,34,25,13,3,0,0,3,178,
"Bilgola",8,17,21,64,56,70,72,65,141,119,202,103,61,51,69,1119,
"Billinudgel",8,6,9,18,13,5,10,7,8,12,3,0,0,0,0,99,
"Billywillinga",0,0,7,4,8,8,14,10,12,12,7,4,3,0,0,89,
"Bilpin",7,13,13,25,26,24,22,25,39,30,23,11,6,3,3,270,
"Binalong",0,8,12,24,21,28,21,4,20,16,7,0,0,0,0,161,
"Binda",6,5,11,17,14,8,8,3,6,3,4,0,0,0,0,85,
"Bingara",24,30,94,130,75,67,33,24,26,19,6,9,0,0,0,537,
"Bingie",3,3,9,10,9,16,11,5,14,6,4,5,3,0,0,98,
"Biniguy",6,6,13,17,21,22,14,11,26,16,11,5,0,0,10,178,
"Binjura",3,3,16,14,14,11,14,17,17,16,5,3,0,0,0,133,
"Binna Burra (NSW)",0,3,5,13,7,9,8,3,6,5,0,0,3,0,0,62,
"Binnaway",13,19,64,58,36,33,20,11,11,5,11,0,0,0,0,281,
"Binya",0,4,6,7,5,4,6,5,8,5,0,5,0,0,0,55,
